accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription,fileURL,yearMonthDay,ticker
0000002488-25-000096,2025-06-17,2025-06-15,2025-06-17T20:12:54.000Z,,4,,,,8311,0,0,xslF345X05/wk-form4_1750191167.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000096/xslF345X05/wk-form4_1750191167.xml,20250615,AMD
0000002488-25-000094,2025-06-17,2025-06-13,2025-06-17T20:11:05.000Z,,4,,,,10916,0,0,xslF345X05/wk-form4_1750191058.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000094/xslF345X05/wk-form4_1750191058.xml,20250613,AMD
0000002488-25-000092,2025-06-13,2025-06-11,2025-06-13T20:11:54.000Z,,4,,,,8746,0,0,xslF345X05/wk-form4_1749845507.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000092/xslF345X05/wk-form4_1749845507.xml,20250611,AMD
0001950047-25-004255,2025-06-13,,2025-06-13T20:01:56.000Z,33,144,001-07882,251046328,,6863,0,0,xsl144X01/primary_doc.xml,,https://www.sec.gov/Archives/edgar/data/0000002488/000195004725004255/xsl144X01/primary_doc.xml,20250613,AMD
0000002488-25-000089,2025-06-03,2025-05-14,2025-06-03T20:26:04.000Z,34,8-K/A,001-07882,251019946,"5.07,9.01",193862,1,1,amd-20250514.htm,8-K/A,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000089/amd-20250514.htm,20250514,AMD
0000002488-25-000087,2025-05-29,,2025-05-29T20:25:31.000Z,34,SD,001-07882,251003783,,313867,0,0,formsd-amd2024.htm,SD,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000087/formsd-amd2024.htm,20250529,AMD
0000002488-25-000082,2025-05-22,2025-05-20,2025-05-22T20:14:05.000Z,,4,,,,5004,0,0,xslF345X05/wk-form4_1747944836.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000082/xslF345X05/wk-form4_1747944836.xml,20250520,AMD
0000002488-25-000080,2025-05-19,2025-05-15,2025-05-19T20:07:05.000Z,,4,,,,12840,0,0,xslF345X05/wk-form4_1747685215.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000080/xslF345X05/wk-form4_1747685215.xml,20250515,AMD
0001193125-25-122121,2025-05-19,2025-05-18,2025-05-19T11:50:48.000Z,34,8-K,001-07882,25961518,"1.01,7.01,9.01",950265,1,1,d831221d8k.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000002488/000119312525122121/d831221d8k.htm,20250518,AMD
0000002488-25-000078,2025-05-16,2025-05-14,2025-05-16T20:42:03.000Z,,4,,,,5329,0,0,xslF345X05/wk-form4_1747428113.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000078/xslF345X05/wk-form4_1747428113.xml,20250514,AMD
0000002488-25-000076,2025-05-16,2025-05-14,2025-05-16T20:39:59.000Z,,4,,,,5472,0,0,xslF345X05/wk-form4_1747427991.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000076/xslF345X05/wk-form4_1747427991.xml,20250514,AMD
0000002488-25-000074,2025-05-16,2025-05-14,2025-05-16T20:37:27.000Z,,4,,,,5293,0,0,xslF345X05/wk-form4_1747427828.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000074/xslF345X05/wk-form4_1747427828.xml,20250514,AMD
0000002488-25-000072,2025-05-16,2025-05-14,2025-05-16T20:35:17.000Z,,4,,,,5500,0,0,xslF345X05/wk-form4_1747427704.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000072/xslF345X05/wk-form4_1747427704.xml,20250514,AMD
0000002488-25-000070,2025-05-16,2025-05-14,2025-05-16T20:31:33.000Z,,4,,,,5322,0,0,xslF345X05/wk-form4_1747427486.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000070/xslF345X05/wk-form4_1747427486.xml,20250514,AMD
0000002488-25-000068,2025-05-16,2025-05-14,2025-05-16T20:29:48.000Z,,4,,,,5672,0,0,xslF345X05/wk-form4_1747427382.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000068/xslF345X05/wk-form4_1747427382.xml,20250514,AMD
0000002488-25-000066,2025-05-16,2025-05-14,2025-05-16T20:27:34.000Z,,4,,,,5381,0,0,xslF345X05/wk-form4_1747427248.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000066/xslF345X05/wk-form4_1747427248.xml,20250514,AMD
0000002488-25-000064,2025-05-16,2025-05-14,2025-05-16T20:12:37.000Z,34,8-K,001-07882,25959359,"5.07,9.01",229768,1,1,amd-20250514.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000064/amd-20250514.htm,20250514,AMD
0001950047-25-003037,2025-05-15,,2025-05-15T20:02:53.000Z,33,144,001-07882,25952479,,6162,0,0,xsl144X01/primary_doc.xml,,https://www.sec.gov/Archives/edgar/data/0000002488/000195004725003037/xsl144X01/primary_doc.xml,20250515,AMD
0000002488-25-000062,2025-05-12,2025-05-08,2025-05-12T20:16:29.000Z,,4,,,,8803,0,0,xslF345X05/wk-form4_1747080981.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000062/xslF345X05/wk-form4_1747080981.xml,20250508,AMD
0000002488-25-000060,2025-05-12,2025-05-08,2025-05-12T20:14:53.000Z,,4,,,,6647,0,0,xslF345X05/wk-form4_1747080885.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000060/xslF345X05/wk-form4_1747080885.xml,20250508,AMD
0000002488-25-000058,2025-05-12,2025-05-08,2025-05-12T20:13:24.000Z,,4,,,,7358,0,0,xslF345X05/wk-form4_1747080792.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000058/xslF345X05/wk-form4_1747080792.xml,20250508,AMD
0000002488-25-000056,2025-05-12,2025-05-08,2025-05-12T20:11:55.000Z,,4,,,,6695,0,0,xslF345X05/wk-form4_1747080705.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000056/xslF345X05/wk-form4_1747080705.xml,20250508,AMD
0000002488-25-000054,2025-05-12,2025-05-08,2025-05-12T20:10:15.000Z,,4,,,,6721,0,0,xslF345X05/wk-form4_1747080604.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000054/xslF345X05/wk-form4_1747080604.xml,20250508,AMD
0000002488-25-000047,2025-05-07,2025-03-29,2025-05-06T22:04:48.000Z,34,10-Q,001-07882,25918699,,7676152,1,1,amd-20250329.htm,10-Q,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000047/amd-20250329.htm,20250329,AMD
0000002488-25-000045,2025-05-06,2025-05-06,2025-05-06T20:16:45.000Z,34,8-K,001-07882,25917502,"2.02,7.01,9.01",4302175,1,1,amd-20250506.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000045/amd-20250506.htm,20250506,AMD
0000002488-25-000042,2025-04-17,2025-04-15,2025-04-17T20:17:17.000Z,,4,,,,10912,0,0,xslF345X05/wk-form4_1744921029.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000042/xslF345X05/wk-form4_1744921029.xml,20250415,AMD
0000002488-25-000039,2025-04-16,2025-04-15,2025-04-16T13:03:30.000Z,34,8-K,001-07882,25841350,8.01,163296,1,1,amd-20250415.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000039/amd-20250415.htm,20250415,AMD
0001950047-25-002461,2025-04-15,,2025-04-15T20:02:17.000Z,33,144,001-07882,25839449,,6162,0,0,xsl144X01/primary_doc.xml,,https://www.sec.gov/Archives/edgar/data/0000002488/000195004725002461/xsl144X01/primary_doc.xml,20250415,AMD
0001193125-25-067974,2025-03-31,,2025-03-31T13:14:35.000Z,33,S-3ASR,333-286248,25789208,,450866,1,1,d939073ds3asr.htm,S-3ASR,https://www.sec.gov/Archives/edgar/data/0000002488/000119312525067974/d939073ds3asr.htm,20250331,AMD
0001193125-25-067902,2025-03-31,2025-03-31,2025-03-31T12:37:51.000Z,34,8-K,001-07882,25789096,"2.01,2.03,3.02,7.01,9.01",1376381,1,1,d943962d8k.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000002488/000119312525067902/d943962d8k.htm,20250331,AMD
0001193125-25-067185,2025-03-28,2024-12-31,2025-03-28T20:44:08.000Z,34,ARS,001-07882,25787119,,35133103,0,0,d858533dars.pdf,ARS,https://www.sec.gov/Archives/edgar/data/0000002488/000119312525067185/d858533dars.pdf,20241231,AMD
0001193125-25-067181,2025-03-28,,2025-03-28T20:42:14.000Z,34,DEFA14A,001-07882,25787081,,148139,0,0,d869679ddefa14a.htm,DEFA14A,https://www.sec.gov/Archives/edgar/data/0000002488/000119312525067181/d869679ddefa14a.htm,20250328,AMD
0001193125-25-067170,2025-03-28,2025-05-14,2025-03-28T20:36:04.000Z,34,DEF 14A,001-07882,25786972,,7089618,1,1,d869673ddef14a.htm,DEF 14A,https://www.sec.gov/Archives/edgar/data/0000002488/000119312525067170/d869673ddef14a.htm,20250514,AMD
0001193125-25-061366,2025-03-24,2025-03-24,2025-03-24T20:17:24.000Z,34,8-K,001-07882,25764372,"1.01,2.03,8.01,9.01",444001,1,1,d914634d8k.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000002488/000119312525061366/d914634d8k.htm,20250324,AMD
0000002488-25-000034,2025-03-18,2025-03-14,2025-03-18T20:31:15.000Z,,4,,,,10922,0,0,xslF345X05/wk-form4_1742329868.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000034/xslF345X05/wk-form4_1742329868.xml,20250314,AMD
